Track ID,Language,Summary,Explicit,Keywords,Mood 1,M1 Score,Mood 2,M2 Score,Mood 3,M3 Score,Mood 4,M4 Score,Mood 5,M5 Score,Theme 1,T1 Score,Theme 2,T2 Score,Theme 3,T3 Score,Theme 4,T4 Score,Theme 5,T5 Score
27 - Awaits.mp3,English,"The lyrics explore the emotional turmoil and struggles of navigating through difficult times in a relationship. The narrator reflects on past hardships and the feeling of being overwhelmed by chaos and negativity. Despite the challenges, there is a sense of hope and desire for connection, as the narrator encourages their partner to breathe and find solace together. The song captures a journey of resilience, emphasizing the importance of understanding and support in overcoming personal battles. Ultimately, it conveys a message of love and the potential for healing amidst adversity.",Yes,"struggle, relationship, resilience, hope, emotional",hopeful,80,anxious,70,reflective,75,introspective,65,supportive,85,love,90,struggle,80,healing,75,mental health,70,resilience,85
21 - Bitter Better.wav,English,"The lyrics convey a struggle against negativity and bitterness, emphasizing the importance of recognizing the beauty of life despite challenges. The repeated call to stop the ′bitter fight′ suggests a desire for emotional healing and connection. The narrator expresses regret for past hardships but encourages a shift in perspective towards hope and positivity. The song captures a sense of urgency to embrace life and overcome internal battles, highlighting the resilience of the human spirit. Ultimately, it is a message of support and encouragement to let go of bitterness and embrace a brighter future.",Yes,"bitterness, life, struggle, hope, connection",hopeful,80,reflective,70,frustrated,60,supportive,75,urgent,65,emotional healing,85,resilience,80,struggle,70,connection,75,positivity,90
24 - Tried N True.wav,English,"The lyrics express a deep sense of longing and affection between two individuals. The narrator reflects on their love, describing it as a shining diamond amidst the chaos of life. There is a sense of nostalgia and appreciation for the moments shared, emphasizing the strength and authenticity of their bond. The repeated phrase ′tried and true′ highlights the reliability and resilience of their relationship, suggesting that despite challenges, their love remains steadfast. The emotions conveyed range from yearning to joy, capturing the complexities of love and connection.",No,"love, longing, reflection, authenticity, connection",happy,80,nostalgic,70,reflective,75,yearning,85,content,90,love,95,resilience,80,connection,85,nostalgia,70,authenticity,75
29 - Moment of Exctasy.wav,English,"The lyrics explore a tumultuous relationship filled with conflicting emotions. The narrator expresses a mix of frustration and desire, acknowledging the pain of watching a partner leave while simultaneously reveling in the thrill of their connection. Themes of longing, lust, and the complexities of love are prevalent, as the narrator reflects on intimate moments and the physicality of their bond. The lyrics convey a sense of urgency and passion, highlighting the push and pull of attraction and the desire to make amends. Ultimately, it captures the bittersweet nature of love and the intensity of human connection.",Yes,"relationship, desire, intimacy, conflict, passion",frustration,70,desire,85,longing,75,passion,90,bittersweet,60,love,80,lust,85,conflict,70,intimacy,90,heartbreak,65
23 - Tryied.mp3,English,"The lyrics convey a complex emotional landscape, exploring themes of love, regret, and longing. The narrator reflects on a relationship marked by misunderstandings and the pain of separation. There is a sense of yearning for connection, as the narrator expresses feelings of love and the desire for forgiveness. The imagery of heaven and purgatory suggests a struggle between blissful moments and the harsh realities of life. The emotional weight of the lyrics captures the bittersweet nature of love, where joy and sorrow coexist, leaving the listener with a sense of hope amidst the turmoil.",No,"love, regret, longing, forgiveness, connection",melancholic,75,hopeful,60,nostalgic,70,romantic,80,reflective,65,love,90,regret,80,forgiveness,70,separation,75,self-discovery,60
18 - Dreams Again.wav,English,"The lyrics explore themes of restlessness and the struggle to find peace amidst life′s challenges. The narrator expresses a desire to escape negative thoughts and reconnect with dreams and aspirations. There is a sense of longing for comfort and support, emphasizing the importance of relationships in overcoming personal struggles. The imagery of dreams falling into the sea symbolizes lost hopes, while the call to dream again reflects a yearning for renewal and positivity. Ultimately, the song conveys a message of resilience and the pursuit of a better, more fulfilling life through connection and gratitude.",No,"dreams, restlessness, relationships, resilience, gratitude",reflective,80,hopeful,75,anxious,60,comforting,70,nostalgic,65,self-discovery,85,mental health,80,love,70,dreams,90,struggle,75
14 - LANDR a Way Out Mas Balanced Medium.mp3,English,"The lyrics convey a journey of self-discovery and the search for clarity amidst confusion. The narrator expresses a desire for connection and understanding, urging someone to stay and dream together to find a way out of their struggles. There is a sense of hope and determination to overcome obstacles, as well as a recognition of past experiences that shape their perspective. The emotions range from longing and vulnerability to empowerment and resilience, highlighting the importance of communication and authenticity in relationships. Ultimately, it is a call to embrace truth and transformation.",No,"self-discovery, connection, hope, transformation, communication",hopeful,85,reflective,75,determined,80,vulnerable,70,empowered,90,self-discovery,85,relationships,80,overcoming obstacles,90,communication,75,transformation,80
20 - Change Perception.wav,English,"The lyrics convey a passionate and intimate connection between two individuals, emphasizing the physical attraction and emotional intensity of their relationship. The narrator expresses a desire to savor every moment, urging their partner to take things slowly and enjoy the experience. There is a sense of urgency mixed with tenderness, as they acknowledge the complexities of love and the potential for complications. The song captures the thrill of desire while also hinting at the fragility of relationships, suggesting that while they are deeply connected, they must navigate their feelings carefully to avoid heartbreak.",Yes,"passion, intimacy, desire, connection, love",passionate,85,intimate,80,tender,75,urgent,70,reflective,60,love,90,desire,85,intimacy,80,complexity,70,vulnerability,65
25 - Can't Go Back.wav,English,"The lyrics explore the complexities of desire and the consequences of choices made in moments of passion. It reflects on the intoxicating nature of love and the yearning for connection, juxtaposed with the awareness of potential regret. The imagery of dreams and the night suggests a longing for escape, while the repeated notion of not being able to go back emphasizes the permanence of certain decisions. Emotions of hope, fear, and the struggle between right and wrong permeate the song, creating a sense of urgency and introspection about the paths we choose in relationships.",Yes,"desire, consequences, regret, love, choices",introspective,85,yearning,90,urgent,75,reflective,80,passionate,70,love,90,regret,85,choices,80,desire,95,consequences,70
17 - Unforgettable.wav,English,"The lyrics explore themes of identity, memory, and the struggle for self-acceptance. The narrator grapples with the concept of being unforgettable, emphasizing the importance of self-perception and the desire to be remembered by others. There is a sense of urgency in wanting to maintain one′s essence while navigating the complexities of relationships and personal dreams. The emotions conveyed range from introspection to a yearning for connection, highlighting the tension between individuality and the expectations of others. Ultimately, the song captures the essence of being true to oneself amidst external pressures.",No,"identity, memory, self-acceptance, relationships, individuality",introspective,80,yearning,75,reflective,70,hopeful,65,conflicted,60,self-discovery,85,connection,80,perception,75,dreams,70,acceptance,65
